directory,stage,input,selection,options,slippageBps,seed,candidate,count,targetHits,targetFrequencyPct,medianPct,p10Pct,worstPct,lossFrequencyPct,worstDrawdownPct,unclosed,nonoverlapping_count,nonoverlapping_targetHits,nonoverlapping_targetFrequencyPct,nonoverlapping_medianPct,nonoverlapping_p10Pct,nonoverlapping_worstPct,nonoverlapping_lossFrequencyPct,nonoverlapping_worstDrawdownPct,nonoverlapping_unclosed
entry/daily-confirmation,confirmation,expanded/stock-200-verified-input.json.gz,entry-candidates.json,entry-confirmation-options.json,5,204,momentum-20-5-monthly,71,38,53.52112676056338,10.463444970000001,-11.157431494999992,-14.99564404499999,39.436619718309856,-22.114609391012287,0,5,4,80,12.16251863500002,4.124913242000009,-0.46874995999999225,20,-11.41357123239013,0
entry/cost10-validation,validation,expanded/stock-200-verified-input.json.gz,expanded-recovery.json,entry-30-validation-options.json,10,204,recovery-60-3-monthly,19,11,57.89473684210527,10.725466524999995,-4.2083328479999915,-7.560504103499999,31.57894736842105,-8.947500413243448,0,3,0,0,-0.9416996199999916,-6.236743206799997,-7.560504103499999,100,-7.875479628500004,0
entry/cost10-confirmation,confirmation,expanded/stock-200-verified-input.json.gz,expanded-recovery.json,entry-30-confirmation-options.json,10,204,recovery-60-3-monthly,58,36,62.06896551724138,11.303795426249996,-0.7615224542499797,-8.05831116600001,12.068965517241379,-8.89256594572373,2,4,0,0,0.5223042137499969,-6.229903687950003,-8.05831116600001,50,-8.650334553006422,1
entry/cost20-validation,validation,expanded/stock-200-verified-input.json.gz,expanded-recovery.json,entry-30-validation-options.json,20,204,recovery-60-3-monthly,19,11,57.89473684210527,10.550824487500021,-4.390777537999981,-7.780933260500012,31.57894736842105,-9.012935980263581,0,3,0,0,-1.217381619999991,-6.468222932400008,-7.780933260500012,100,-8.095908785500017,0
entry/cost20-confirmation,confirmation,expanded/stock-200-verified-input.json.gz,expanded-recovery.json,entry-30-confirmation-options.json,20,204,recovery-60-3-monthly,58,36,62.06896551724138,11.322941528749986,-0.9095381742499971,-8.200184672499999,12.068965517241379,-9.250340381750522,2,4,0,0,0.2591667875000203,-6.418350362499992,-8.200184672499999,50,-8.800046955696494,1
entry/seed205-validation,validation,expanded/stock-200-verified-input.json.gz,expanded-recovery.json,entry-30-validation-options.json,5,205,recovery-60-3-monthly,19,11,57.89473684210527,10.762013714999984,-4.189856593999988,-7.560504103499999,31.57894736842105,-8.939597709206748,0,3,0,0,-0.903143620000002,-6.229032006799999,-7.560504103499999,100,-7.875479628500004,0
entry/seed205-confirmation,confirmation,expanded/stock-200-verified-input.json.gz,expanded-recovery.json,entry-30-confirmation-options.json,5,205,recovery-60-3-monthly,58,36,62.06896551724138,11.324827883750011,-0.7272900242499878,-8.035123369000019,12.068965517241379,-8.861861673760618,2,4,0,0,0.5511782137500032,-6.202941530050013,-8.035123369000019,50,-8.634477562624088,1
entry/seed206-validation,validation,expanded/stock-200-verified-input.json.gz,expanded-recovery.json,entry-30-validation-options.json,5,206,recovery-60-3-monthly,19,11,57.89473684210527,10.762013715000007,-4.189856593999983,-7.56050410350001,31.57894736842105,-8.939597709206748,0,3,0,0,-0.9031436199999909,-6.229032006800006,-7.56050410350001,100,-7.875479628500015,0
entry/seed206-confirmation,confirmation,expanded/stock-200-verified-input.json.gz,expanded-recovery.json,entry-30-confirmation-options.json,5,206,recovery-60-3-monthly,58,36,62.06896551724138,11.324827883750011,-0.14098587749997127,-8.035123368999987,10.344827586206897,-8.861861673760597,2,4,0,0,0.5511782137500085,-6.202941530049987,-8.035123368999987,50,-8.634477562624078,1
entry/confirm5-validation,validation,expanded/stock-200-verified-input.json.gz,expanded-recovery.json,entry-confirm5-validation-options.json,5,204,recovery-60-3-monthly,19,12,63.1578947368421,11.143120314999976,0,-5.972134470000001,5.263157894736842,-7.192975442398808,0,3,1,33.33333333333333,0,0,0,0,-2.3262985911228995,0
entry/confirm5-confirmation,confirmation,expanded/stock-200-verified-input.json.gz,expanded-recovery.json,entry-confirm5-confirmation-options.json,5,204,recovery-60-3-monthly,58,37,63.793103448275865,11.795472108249992,-1.4226727284999916,-8.035123368999987,12.068965517241379,-9.838368594911561,2,4,0,0,-1.3090267425000024,-6.410002403799991,-8.035123368999987,50,-8.035123368999987,1
entry/confirm3-validation,validation,expanded/stock-200-verified-input.json.gz,expanded-recovery.json,entry-confirm3-validation-options.json,5,204,recovery-60-3-monthly,19,11,57.89473684210527,11.645968920000026,0,-5.972134470000001,5.263157894736842,-7.168344444047237,0,3,0,0,0,0,0,0,-4.75779323447072,0
entry/confirm3-confirmation,confirmation,expanded/stock-200-verified-input.json.gz,expanded-recovery.json,entry-confirm3-confirmation-options.json,5,204,recovery-60-3-monthly,58,38,65.51724137931035,11.990536164999988,-1.24862865274999,-8.035123368999987,13.793103448275861,-8.861861673760618,2,4,0,0,-1.2381840662499977,-6.367496798049989,-8.035123368999987,50,-8.035123368999987,1
entry/confirm10-validation,validation,expanded/stock-200-verified-input.json.gz,expanded-recovery.json,entry-confirm10-validation-options.json,5,204,recovery-60-3-monthly,19,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
entry/confirm10-confirmation,confirmation,expanded/stock-200-verified-input.json.gz,expanded-recovery.json,entry-confirm10-confirmation-options.json,5,204,recovery-60-3-monthly,58,29,50,9.808770972249992,-6.394297873999999,-8.035123368999987,18.96551724137931,-8.809465713999987,2,4,0,0,0,-5.62458635829999,-8.035123368999987,25,-8.035123368999987,1
